experiment,scenario,session,mean_joint_risk,mean_disruption,mean_learning_loss,intervention_rate,stop_rate
w_a1.55_b0.35_g1.65,oil_gas,34,0.311155056827263,0.01691666666666667,0.012083333333333335,0.24166666666666667,0.0
w_a1.55_b0.35_g1.65,oil_gas,35,0.32250300937826826,0.016333333333333335,0.011666666666666665,0.23333333333333334,0.0
w_a1.55_b0.35_g1.65,oil_gas,36,0.31421513897026104,0.01575,0.011250000000000001,0.225,0.0
w_a1.55_b0.35_g1.65,oil_gas,37,0.31522499199311454,0.015166666666666669,0.010833333333333335,0.21666666666666667,0.0
w_a1.55_b0.35_g1.65,oil_gas,38,0.31807665750750264,0.018083333333333337,0.012916666666666667,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,oil_gas,39,0.3159931511307442,0.018083333333333333,0.012916666666666667,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,factory,0,0.3279910537334387,0.014583333333333334,0.010416666666666666,0.20833333333333334,0.0
w_a1.55_b0.35_g1.65,factory,1,0.33339846948850915,0.015166666666666669,0.010833333333333335,0.21666666666666667,0.0
w_a1.55_b0.35_g1.65,factory,2,0.3261690001630255,0.01691666666666667,0.012083333333333335,0.24166666666666667,0.0
w_a1.55_b0.35_g1.65,factory,3,0.3381654637891697,0.017500000000000005,0.0125,0.25,0.0
w_a1.55_b0.35_g1.65,factory,4,0.3310344542365237,0.015166666666666669,0.010833333333333335,0.21666666666666667,0.0
w_a1.55_b0.35_g1.65,factory,5,0.3304462857491276,0.0175,0.0125,0.25,0.0
w_a1.55_b0.35_g1.65,factory,6,0.3324409608587139,0.019250000000000003,0.01375,0.275,0.0
w_a1.55_b0.35_g1.65,factory,7,0.33664515975999976,0.015166666666666667,0.010833333333333334,0.21666666666666667,0.0
w_a1.55_b0.35_g1.65,factory,8,0.33257325614789257,0.016333333333333335,0.011666666666666665,0.23333333333333334,0.0
w_a1.55_b0.35_g1.65,factory,9,0.33383107622488434,0.016333333333333335,0.011666666666666667,0.23333333333333334,0.0
